avg_util,talgo,ttype,time,period
0.2789999999999999,ZIP,3,230,2
0.4333000000000001,GDZ,1,230,2
0.6430833333333332,GDZ,2,230,2
0.3273333333333334,GDZ,3,230,2
0.3577,ZIP,1,231,2
0.33505000000000007,ZIP,2,231,2
0.2789999999999999,ZIP,3,231,2
0.4333000000000001,GDZ,1,231,2
0.6430833333333332,GDZ,2,231,2
0.3273333333333334,GDZ,3,231,2
0.3577,ZIP,1,232,2
0.33508333333333346,ZIP,2,232,2
0.2789999999999999,ZIP,3,232,2
0.4333000000000001,GDZ,1,232,2
0.6430833333333332,GDZ,2,232,2
0.3273333333333334,GDZ,3,232,2
0.3577,ZIP,1,233,2
0.33508333333333346,ZIP,2,233,2
0.2789999999999999,ZIP,3,233,2
0.4333000000000001,GDZ,1,233,2
0.6430833333333332,GDZ,2,233,2
0.3273333333333334,GDZ,3,233,2
0.35784999999999995,ZIP,1,234,2
0.33508333333333346,ZIP,2,234,2
0.2789999999999999,ZIP,3,234,2
0.4333000000000001,GDZ,1,234,2
0.6430833333333332,GDZ,2,234,2
0.3273333333333334,GDZ,3,234,2
0.35784999999999995,ZIP,1,235,2
0.33508333333333346,ZIP,2,235,2
0.2789999999999999,ZIP,3,235,2
0.4333000000000001,GDZ,1,235,2
0.6430833333333332,GDZ,2,235,2
0.3273333333333334,GDZ,3,235,2
0.35784999999999995,ZIP,1,236,2
0.33508333333333346,ZIP,2,236,2
0.2789999999999999,ZIP,3,236,2
0.4333000000000001,GDZ,1,236,2
0.6430833333333332,GDZ,2,236,2
0.3273333333333334,GDZ,3,236,2
0.35784999999999995,ZIP,1,237,2
0.33508333333333346,ZIP,2,237,2
0.2789999999999999,ZIP,3,237,2
0.4333000000000001,GDZ,1,237,2
0.6430833333333332,GDZ,2,237,2
0.3273333333333334,GDZ,3,237,2
0.35784999999999995,ZIP,1,238,2
0.33508333333333346,ZIP,2,238,2
0.2789999999999999,ZIP,3,238,2
0.4333000000000001,GDZ,1,238,2
0.6430833333333332,GDZ,2,238,2
0.3273333333333334,GDZ,3,238,2
0.35784999999999995,ZIP,1,239,2
0.33508333333333346,ZIP,2,239,2
0.2789999999999999,ZIP,3,239,2
0.4333000000000001,GDZ,1,239,2
0.6430833333333332,GDZ,2,239,2
0.3273333333333334,GDZ,3,239,2
0.35784999999999995,ZIP,1,240,2
0.33508333333333346,ZIP,2,240,2
0.2789999999999999,ZIP,3,240,2
0.4333000000000001,GDZ,1,240,2
0.6430833333333332,GDZ,2,240,2
0.3273333333333334,GDZ,3,240,2
0.35784999999999995,ZIP,1,241,2
0.3351166666666668,ZIP,2,241,2
0.2789999999999999,ZIP,3,241,2
0.4333000000000001,GDZ,1,241,2
0.6430833333333332,GDZ,2,241,2
0.3273333333333334,GDZ,3,241,2
0.35784999999999995,ZIP,1,242,2
0.3351166666666668,ZIP,2,242,2
0.2789999999999999,ZIP,3,242,2
0.4333000000000001,GDZ,1,242,2
0.6430833333333332,GDZ,2,242,2
0.3273333333333334,GDZ,3,242,2
0.35784999999999995,ZIP,1,243,2
0.3351166666666668,ZIP,2,243,2
0.2789999999999999,ZIP,3,243,2
0.4333000000000001,GDZ,1,243,2
0.6430833333333332,GDZ,2,243,2
0.3273333333333334,GDZ,3,243,2
0.35784999999999995,ZIP,1,244,2
0.3351166666666668,ZIP,2,244,2
0.2789999999999999,ZIP,3,244,2
0.4333000000000001,GDZ,1,244,2
0.6430833333333332,GDZ,2,244,2
0.3273333333333334,GDZ,3,244,2
0.35784999999999995,ZIP,1,245,2
0.3351166666666668,ZIP,2,245,2
0.2789999999999999,ZIP,3,245,2
0.4333000000000001,GDZ,1,245,2
0.6430833333333332,GDZ,2,245,2
0.3273333333333334,GDZ,3,245,2
0.35784999999999995,ZIP,1,246,2
0.3351166666666668,ZIP,2,246,2
0.2789999999999999,ZIP,3,246,2
0.4333000000000001,GDZ,1,246,2
0.6430833333333332,GDZ,2,246,2
0.3273333333333334,GDZ,3,246,2
0.35784999999999995,ZIP,1,247,2
0.3353166666666668,ZIP,2,247,2
0.2789999999999999,ZIP,3,247,2
0.4333000000000001,GDZ,1,247,2
0.6430833333333332,GDZ,2,247,2
0.3273333333333334,GDZ,3,247,2
0.35784999999999995,ZIP,1,248,2
0.3353166666666668,ZIP,2,248,2
0.2789999999999999,ZIP,3,248,2
0.4333000000000001,GDZ,1,248,2
0.6430833333333332,GDZ,2,248,2
0.3273333333333334,GDZ,3,248,2
0.35784999999999995,ZIP,1,249,2
0.3353166666666668,ZIP,2,249,2
0.2789999999999999,ZIP,3,249,2
0.4333000000000001,GDZ,1,249,2
0.6430833333333332,GDZ,2,249,2
0.3273333333333334,GDZ,3,249,2
0.35784999999999995,ZIP,1,250,2
0.3353166666666668,ZIP,2,250,2
0.2789999999999999,ZIP,3,250,2
0.4333000000000001,GDZ,1,250,2
0.6430833333333332,GDZ,2,250,2
0.3273333333333334,GDZ,3,250,2
0.35784999999999995,ZIP,1,251,2
0.3353166666666668,ZIP,2,251,2
0.2789999999999999,ZIP,3,251,2
0.4333000000000001,GDZ,1,251,2
0.6430833333333332,GDZ,2,251,2
0.3273333333333334,GDZ,3,251,2
0.35784999999999995,ZIP,1,252,2
0.3353166666666668,ZIP,2,252,2
0.2789999999999999,ZIP,3,252,2
0.4333000000000001,GDZ,1,252,2
0.6430833333333332,GDZ,2,252,2
0.3273333333333334,GDZ,3,252,2
0.35784999999999995,ZIP,1,253,2
0.3353166666666668,ZIP,2,253,2
0.2789999999999999,ZIP,3,253,2
0.4333000000000001,GDZ,1,253,2
0.6430833333333332,GDZ,2,253,2
0.3273333333333334,GDZ,3,253,2
0.35784999999999995,ZIP,1,254,2
0.3353166666666668,ZIP,2,254,2
0.2789999999999999,ZIP,3,254,2
0.4333000000000001,GDZ,1,254,2
0.6430833333333332,GDZ,2,254,2
0.3273333333333334,GDZ,3,254,2
